,Image path,Directory,Class ID,Class name
21332,THO/637_THO_93_GalaxyS5_20170607_141656_50.jpg,THO,22,_Thuja occidentalis_
22996,MEL/831_MEL_90_GalaxyS5_20170706_105420_14.jpg,MEL,12,_Larix laricina_
5327,SAB/983_SAB_59_GalaxyS5_20170615_133942_16.jpg,SAB,21,_Abies balsamea_
17920,EPN/733_EPN_115_GalaxyS5_20170622_114207_6.jpg,EPN,4,_Picea mariana_
15631,PIB/324_PIB_108_Nexus 5_20170615_124212_7.jpg,PIB,17,_Pinus strobus_
3939,FRA/271_FRA_87_Nexus 5_20170906_105532_11.jpg,FRA,10,_Fraxinus americana_
20067,EPO/149_EPO_88_Nexus 5_20170921_154716_16.jpg,EPO,5,_Picea abies_
5539,SAB/987_SAB_80_GalaxyS5_20170622_091212_12.jpg,SAB,21,_Abies balsamea_
17368,EPN/715_EPN_85_GalaxyS5_20170622_104342_3.jpg,EPN,4,_Picea mariana_
4753,FRA/601_FRA_142_GalaxyS5_20170607_144221_11.jpg,FRA,10,_Fraxinus americana_
5644,SAB/423_SAB_47_Nexus 5_20170615_132503_11.jpg,SAB,21,_Abies balsamea_
6623,BOJ/459_BOJ_57_GalaxyS7_20170607_141937_31.jpg,BOJ,0,_Betula alleghaniensis_
2688,CHR/516_CHR_30_GalaxyS7_20170916_175023_7.jpg,CHR,2,_Quercus rubra_
22668,MEL/822_MEL_84_GalaxyS5_20170706_103817_3.jpg,MEL,12,_Larix laricina_
16613,PET/936_PET_64_GalaxyS5_20170712_111947_2.jpg,PET,16,_Populus tremuloides_
21153,THO/1006_THO_85_GalaxyS5_20170615_134638_17.jpg,THO,22,_Thuja occidentalis_
1065,CHR/491_CHR_109_GalaxyS7_20170916_153547_32.jpg,CHR,2,_Quercus rubra_
16452,PET/956_PET_96_GalaxyS5_20170712_115024_16.jpg,PET,16,_Populus tremuloides_
20289,EPO/170_EPO_121_Nexus 5_20170922_102601_13.jpg,EPO,5,_Picea abies_
11471,ERR/573_ERR_39_GalaxyS5_20170607_152857_24.jpg,ERR,8,_Acer rubrum_
10940,ERR/568_ERR_117_GalaxyS7_20170607_141023_41.jpg,ERR,8,_Acer rubrum_
17404,EPN/701_EPN_105_GalaxyS5_20170622_101302_22.jpg,EPN,4,_Picea mariana_
5019,SAB/426_SAB_94_Nexus 5_20170615_135833_13.jpg,SAB,21,_Abies balsamea_
6030,BOJ/461_BOJ_53_GalaxyS5_20170607_145406_15.jpg,BOJ,0,_Betula alleghaniensis_
11174,ERR/560_ERR_208_GalaxyS7_20170922_130631_7.jpg,ERR,8,_Acer rubrum_
9507,BOP/34_BOP_97_Nexus 5_20170608_092055_17.jpg,BOP,1,_Betula papyrifera_
13677,ERS/228_ERS_74_Nexus 5_20170804_093856_2.jpg,ERS,9,_Acer saccharum_
21128,THO/430_THO_74_Nexus 5_20170615_134333_7.jpg,THO,22,_Thuja occidentalis_
13485,ERS/780_ERS_76_GalaxyS5_20170713_103744_2.jpg,ERS,9,_Acer saccharum_
7025,PRU/381_PRU_80_Nexus 5_20170608_092917_9.jpg,PRU,20,_Tsuga canadensis_
7146,PRU/412_PRU_93_Nexus 5_20170906_093756_9.jpg,PRU,20,_Tsuga canadensis_
5227,SAB/421_SAB_79_Nexus 5_20170615_125557_16.jpg,SAB,21,_Abies balsamea_
10804,ERR/563_ERR_74_GalaxyS7_20170922_131614_16.jpg,ERR,8,_Acer rubrum_
2773,PIR/364_PIR_106_Nexus 5_20170817_112243_10.jpg,PIR,19,_Pinus resinosa_
14411,ERS/779_ERS_50_GalaxyS5_20170713_103606_23.jpg,ERS,9,_Acer saccharum_
15829,PIB/319_PIB_90_Nexus 5_20170615_123306_5.jpg,PIB,17,_Pinus strobus_
21684,MEL/851_MEL_80_GalaxyS5_20170706_113204_2.jpg,MEL,12,_Larix laricina_
18021,EPR/180_EPR_97_Nexus 5_20170608_102619_15.jpg,EPR,6,_Picea rubens_
3749,FRA/601_FRA_142_GalaxyS7_20170607_143908_10.jpg,FRA,10,_Fraxinus americana_
23388,MEL/867_MEL_136_GalaxyS5_20170706_120414_5.jpg,MEL,12,_Larix laricina_
17040,PET/951_PET_78_GalaxyS5_20170712_114356_8.jpg,PET,16,_Populus tremuloides_
15991,PID/346_PID_77_Nexus 5_20170817_103045_11.jpg,PID,18,_Pinus rigida_
3540,FRA/245_FRA_94_Nexus 5_20170804_095304_6.jpg,FRA,10,_Fraxinus americana_
12185,ORA/628_ORA_133_GalaxyS7_20170607_134623_46.jpg,ORA,13,_Ulmus americana_
22869,MEL/831_MEL_90_GalaxyS5_20170706_105420_17.jpg,MEL,12,_Larix laricina_
17767,EPN/738_EPN_73_GalaxyS5_20170622_115614_2.jpg,EPN,4,_Picea mariana_
16851,PET/909_PET_89_GalaxyS5_20170712_101809_5.jpg,PET,16,_Populus tremuloides_
11830,ERR/549_ERR_41_GalaxyS7_20170922_124124_6.jpg,ERR,8,_Acer rubrum_
17597,EPN/724_EPN_65_GalaxyS5_20170622_111408_3.jpg,EPN,4,_Picea mariana_
10533,ERR/568_ERR_117_GalaxyS7_20170607_141023_22.jpg,ERR,8,_Acer rubrum_
21930,MEL/854_MEL_124_GalaxyS5_20170706_113929_6.jpg,MEL,12,_Larix laricina_
3839,FRA/266_FRA_120_Nexus 5_20170804_103351_3.jpg,FRA,10,_Fraxinus americana_
13107,ERS/587_ERS_89_GalaxyS7_20170920_170203_18.jpg,ERS,9,_Acer saccharum_
20219,EPO/161_EPO_88_Nexus 5_20170922_100745_3.jpg,EPO,5,_Picea abies_
9861,EPB/89_EPB_71_Nexus 5_20170817_111001_8.jpg,EPB,3,_Picea glauca_
10603,ERR/193_ERR_96_Nexus 5_20170804_094037_19.jpg,ERR,8,_Acer rubrum_
19710,EPO/165_EPO_60_Nexus 5_20170922_101629_25.jpg,EPO,5,_Picea abies_
18750,HEG/804_HEG_50_GalaxyS5_20170713_112843_14.jpg,HEG,11,_Fagus grandifolia_
8518,OSV/888_OSV_105_GalaxyS5_20170713_104958_21.jpg,OSV,14,_Ostrya virginiana_
11109,ERR/564_ERR_89_GalaxyS7_20170922_131827_21.jpg,ERR,8,_Acer rubrum_
6212,BOJ/26_BOJ_100_Nexus 5_20170804_091719_7.jpg,BOJ,0,_Betula alleghaniensis_
22598,MEL/865_MEL_74_GalaxyS5_20170706_120130_19.jpg,MEL,12,_Larix laricina_
18089,EPR/539_EPR_83_GalaxyS7_20170607_153519_3.jpg,EPR,6,_Picea rubens_
